Street,City,State,State_name,Zip_code,LON,LAT
OLD ALEXANDRIA FERRY RD,CLINTON,MD,Maryland,20735,-76.8959,38.7853
INDIAN HEAD HWY,OXON HILL,MD,Maryland,20745,-77.0002,38.8191
ALABAMA AVE SE,WASHINGTON,DC,District Of Columbia,20020,-76.9666,38.86
IVERSON ST,TEMPLE HILLS,MD,Maryland,20748,-76.9589,38.8337
SILVER HILL RD,DISTRICT HEIGHTS,MD,Maryland,20747,-76.9128,38.8526
MARYLAND AVE NE,WASHINGTON,DC,District Of Columbia,20002,-76.9809,38.9004
DONNELL DR,FORESTVILLE,MD,Maryland,20747,-76.8849,38.8467
MARTIN LUTHER KING JR HWY,HYATTSVILLE,MD,Maryland,20785,-76.8849,38.9149
PRINCE FREDERICK BLVD,PRINCE FREDERICK,MD,Maryland,20678,-76.5959,38.5531
PO BOX 116,SUNDERLAND,MD,Maryland,20689,-76.5892,38.6633
S OSBORNE RD,UPPER MARLBORO,MD,Maryland,20772,-76.7961,38.7841
CENTRAL AVE,MITCHELLVILLE,MD,Maryland,20721,-76.795,38.8997
CRAIN HWY,BOWIE,MD,Maryland,20716,-76.7185,38.9068
SOLOMONS ISLAND RD,EDGEWATER,MD,Maryland,21037,-76.5682,38.9324
MACARTHUR BLVD,CABIN JOHN,MD,Maryland,20818,-77.1626,38.9747
WISCONSIN AVE,BETHESDA,MD,Maryland,20814,-77.0946,38.9862
WISCONSIN AVE,BETHESDA,MD,Maryland,20814,-77.0953,38.9911
GEORGIA AVE NW,WASHINGTON,DC,District Of Columbia,20011,-77.0253,38.9423
16TH ST,SILVER SPRING,MD,Maryland,20910,-77.0368,38.9972
NICHOLSON LN,ROCKVILLE,MD,Maryland,20852,-77.1045,39.0457
GEORGIA AVE,SILVER SPRING,MD,Maryland,20906,-77.0502,39.0592
MUDDY BRANCH RD,GAITHERSBURG,MD,Maryland,20878,-77.2086,39.1283
ROCKVILLE PIKE,ROCKVILLE,MD,Maryland,20852,-77.14,39.0774
ROTHBURY DR,MONTGOMERY VLG,MD,Maryland,20886,-77.1886,39.1854
WOODFIELD RD,GAITHERSBURG,MD,Maryland,20879,-77.159,39.16
GEORGIA AVE,SILVER SPRING,MD,Maryland,20906,-77.0722,39.0787
NORBECK RD,ROCKVILLE,MD,Maryland,20853,-77.1116,39.0954
OLNEY LAYTONSVILLE RD,OLNEY,MD,Maryland,20832,-77.0689,39.1543
QUEENS CHAPEL RD,HYATTSVILLE,MD,Maryland,20782,-76.9636,38.9555
SARGENT RD,HYATTSVILLE,MD,Maryland,20782,-76.9844,38.9689
NEW HAMPSHIRE AVE,SILVER SPRING,MD,Maryland,20903,-76.981,39.0044
BALTIMORE AVE,COLLEGE PARK,MD,Maryland,20740,-76.9312,39.0003
BALTIMORE AVE,BELTSVILLE,MD,Maryland,20705,-76.9121,39.0322
ANNAPOLIS RD,LANHAM SEABROOK,MD,Maryland,20706,-76.8558,38.9632
ANNAPOLIS RD,HYATTSVILLE,MD,Maryland,20784,-76.9015,38.9424
FORBES BLVD,LANHAM SEABROOK,MD,Maryland,20706,-76.836,38.9527
GREENBELT RD,LANHAM SEABROOK,MD,Maryland,20706,-76.8211,38.9894
NEW HAMPSHIRE AVE,SILVER SPRING,MD,Maryland,20904,-77.0024,39.0747
OLD COLUMBIA PIKE,SILVER SPRING,MD,Maryland,20904,-76.9512,39.0842
BALTIMORE AVE,LAUREL,MD,Maryland,20707,-76.8631,39.0826
FORT MEADE RD,LAUREL,MD,Maryland,20707,-76.8379,39.0963
MAIER RD,LAUREL,MD,Maryland,20723,-76.8259,39.1214
MINSTREL WAY,COLUMBIA,MD,Maryland,21045,-76.8434,39.1777
OAKLAND MILLS RD,COLUMBIA,MD,Maryland,21046,-76.8284,39.1765
MAIN ST,DAMASCUS,MD,Maryland,20872,-77.204,39.2886
RIDGESIDE DR,MT AIRY,MD,Maryland,21771,-77.1639,39.3627
LISBON CENTER DR,WOODBINE,MD,Maryland,21797,-77.0682,39.349
CLARKSVILLE PIKE,CLARKSVILLE,MD,Maryland,21029,-76.9398,39.2104
STATE ROUTE 108,COLUMBIA,MD,Maryland,21045,-76.8304,39.2341
BENDIX RD,COLUMBIA,MD,Maryland,21045,-76.8306,39.2349
BALTIMORE NATIONAL PIKE,ELLICOTT CITY,MD,Maryland,21042,-76.8607,39.28
SAINT JOHNS LN,ELLICOTT CITY,MD,Maryland,21042,-76.827,39.2723
SYKESVILLE RD,ELDERSBURG,MD,Maryland,21784,-76.952,39.4
W CHESTNUT HILL LN,REISTERSTOWN,MD,Maryland,21136,-76.8137,39.4458
SUPERIOR LN,BOWIE,MD,Maryland,20715,-76.7326,38.9784
STATE ROUTE 3 N,GAMBRILLS,MD,Maryland,21054,-76.6887,39.0265
ANNAPOLIS RD,SEVERN,MD,Maryland,21144,-76.7369,39.1303
ODENTON RD,ODENTON,MD,Maryland,21113,-76.6855,39.0782
RITCHIE HWY,GLEN BURNIE,MD,Maryland,21061,-76.6137,39.1925
CAPE ST CLAIRE RD,ANNAPOLIS,MD,Maryland,21409,-76.4394,39.0387
BENFIELD RD,SEVERNA PARK,MD,Maryland,21146,-76.5809,39.081
MOUNTAIN RD,PASADENA,MD,Maryland,21122,-76.5351,39.1264
RITCHIE HWY,PASADENA,MD,Maryland,21122,-76.5865,39.1229
MONTGOMERY RD,ELKRIDGE,MD,Maryland,21075,-76.7292,39.2078
